Order,Publish Date,Title,Story Arc,Detail Link
149,03/1964,X-Men (1963) #4,-,https://cmro.travis-starnes.com/detail.php?idvalue=114
150,04/1964,Strange Tales (1951) #119 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=115
151,04/1964,Strange Tales (1951) #119 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16224
152,03/1964,Fantastic Four (1961) #24,-,https://cmro.travis-starnes.com/detail.php?idvalue=116
153,03/1964,Avengers (1963) #4,-,https://cmro.travis-starnes.com/detail.php?idvalue=117
154,02/1964,Tales of Suspense (1959) #50 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=120
155,02/1964,Tales of Suspense (1959) #50 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16457
156,02/1964,Tales to Astonish (1958) #52 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=121
157,02/1964,Tales to Astonish (1958) #52 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16458
158,03/1964,Tales of Suspense (1959) #51 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=122
159,03/1964,Tales of Suspense (1959) #51 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16459
160,03/1964,Tales to Astonish (1958) #53 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=123
161,03/1964,Tales to Astonish (1958) #53 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16460
162,04/1964,Amazing Spider-Man (1963) #11,-,https://cmro.travis-starnes.com/detail.php?idvalue=125
163,04/1964,Daredevil (1964) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=126
164,05/1964,Amazing Spider-Man (1963) #12,-,https://cmro.travis-starnes.com/detail.php?idvalue=129
165,05/1964,X-Men (1963) #5,-,https://cmro.travis-starnes.com/detail.php?idvalue=130
166,04/1964,Tales to Astonish (1958) #54 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=132
167,04/1964,Tales to Astonish (1958) #54 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16461
168,04/1964,Tales of Suspense (1959) #52 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=131
169,04/1964,Tales of Suspense (1959) #52 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16510
170,05/1964,Tales to Astonish (1958) #55 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=133
171,05/1964,Tales to Astonish (1958) #55 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16511
172,05/1964,Strange Tales (1951) #120 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=134
173,05/1964,Strange Tales (1951) #120 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16233
174,06/1964,Amazing Spider-Man (1963) #13,-,https://cmro.travis-starnes.com/detail.php?idvalue=137
175,05/1964,Tales of Suspense (1959) #53 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=139
176,05/1964,Tales of Suspense (1959) #53 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16512
177,06/1964,Tales to Astonish (1958) #56 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=138
178,06/1964,Tales to Astonish (1958) #56 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16528
179,04/1964,Fantastic Four (1961) #25,-,https://cmro.travis-starnes.com/detail.php?idvalue=124
180,05/1964,Fantastic Four (1961) #26,-,https://cmro.travis-starnes.com/detail.php?idvalue=127
181,05/1964,Avengers (1963) #5,-,https://cmro.travis-starnes.com/detail.php?idvalue=128
182,07/1964,Avengers (1963) #6,-,https://cmro.travis-starnes.com/detail.php?idvalue=140
183,06/1964,Tales of Suspense (1959) #54 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=141
184,07/1964,Tales of Suspense (1959) #55 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=145
185,06/1964,Tales of Suspense (1959) #54 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16529
186,07/1964,Tales of Suspense (1959) #55 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16530
187,06/1964,Strange Tales (1951) #121 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=135
188,06/1964,Strange Tales (1951) #121 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16234
189,06/1964,Fantastic Four (1961) #27,-,https://cmro.travis-starnes.com/detail.php?idvalue=136
190,07/1964,Strange Tales (1951) #122 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=142
191,07/1964,Strange Tales (1951) #122 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16235
192,06/1964,Daredevil (1964) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=143
193,07/1964,Fantastic Four (1961) #28,-,https://cmro.travis-starnes.com/detail.php?idvalue=144
194,07/1964,Amazing Spider-Man (1963) #14,-,https://cmro.travis-starnes.com/detail.php?idvalue=146
195,07/1964,X-Men (1963) #6,-,https://cmro.travis-starnes.com/detail.php?idvalue=147
196,07/1964,Tales to Astonish (1958) #57 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=152
197,07/1964,Tales to Astonish (1958) #57 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=6808
198,06/1964,Journey into Mystery (1952) #105 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=153
199,07/1964,Journey into Mystery (1952) #106 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=154
200,08/1964,Journey into Mystery (1952) #107 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=162
201,06/1964,Journey into Mystery (1952) #105 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16531
202,07/1964,Journey into Mystery (1952) #106 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16532
203,08/1964,Journey into Mystery (1952) #107 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16533
204,08/1964,Tales to Astonish (1958) #58 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=155
205,08/1964,Tales to Astonish (1958) #58 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16534
206,08/1964,Tales of Suspense (1959) #56 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=156
207,08/1964,Tales of Suspense (1959) #56 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16535
208,08/1964,Avengers (1963) #7,-,https://cmro.travis-starnes.com/detail.php?idvalue=157
209,08/1964,Strange Tales (1951) #123 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=158
210,08/1964,Strange Tales (1951) #123 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16236
211,08/1964,Fantastic Four (1961) #29,-,https://cmro.travis-starnes.com/detail.php?idvalue=159
212,08/1964,Amazing Spider-Man (1963) #15,-,https://cmro.travis-starnes.com/detail.php?idvalue=160
213,08/1964,Daredevil (1964) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=161
214,10/1964,Daredevil (1964) #4,-,https://cmro.travis-starnes.com/detail.php?idvalue=181
215,09/1964,Amazing Spider-Man (1963) #16,-,https://cmro.travis-starnes.com/detail.php?idvalue=163
216,09/1964,Tales to Astonish (1958) #59,-,https://cmro.travis-starnes.com/detail.php?idvalue=164
217,09/1964,Journey into Mystery (1952) #108 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=165
218,09/1964,Journey into Mystery (1952) #108 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16546
219,09/1964,Tales of Suspense (1959) #57 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=166
220,09/1964,Tales of Suspense (1959) #57 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16547
221,10/1964,Tales of Suspense (1959) #58 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=170
222,10/1964,Tales of Suspense (1959) #58 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16548
223,10/1964,Amazing Spider-Man Annual (1964) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=169
224,09/1964,X-Men (1963) #7,-,https://cmro.travis-starnes.com/detail.php?idvalue=167
225,10/1964,Journey into Mystery (1952) #109 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=168
226,10/1964,Journey into Mystery (1952) #109 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16559
227,09/1964,Strange Tales (1951) #124 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=172
228,09/1964,Strange Tales (1951) #124 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16237
229,09/1964,Fantastic Four (1961) #30,-,https://cmro.travis-starnes.com/detail.php?idvalue=173
230,10/1964,Strange Tales (1951) #125 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=174
231,11/1964,Strange Tales (1951) #126 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=175
232,10/1964,Amazing Spider-Man (1963) #17,-,https://cmro.travis-starnes.com/detail.php?idvalue=176
233,11/1964,Amazing Spider-Man (1963) #18,-,https://cmro.travis-starnes.com/detail.php?idvalue=177
234,10/1964,Tales to Astonish (1958) #60 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=178
235,11/1964,Tales of Suspense (1959) #59 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=179
236,11/1964,Tales of Suspense (1959) #59 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16560
237,12/1964,Strange Tales (1951) #127 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=183
238,12/1964,Amazing Spider-Man (1963) #19,-,https://cmro.travis-starnes.com/detail.php?idvalue=182
239,10/1964,Strange Tales (1951) #125 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16248
240,11/1964,Strange Tales (1951) #126 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=10228
241,12/1964,Strange Tales (1951) #127 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=10229
242,01/1965,Amazing Spider-Man (1963) #20,-,https://cmro.travis-starnes.com/detail.php?idvalue=200
243,11/1964,Fantastic Four Annual (1963) #2 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=184
244,11/1964,Fantastic Four Annual (1963) #2 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16985
245,09/1964,Avengers (1963) #8,-,https://cmro.travis-starnes.com/detail.php?idvalue=171
246,10/1964,Avengers (1963) #9,-,https://cmro.travis-starnes.com/detail.php?idvalue=180
247,10/1964,Fantastic Four (1961) #31,-,https://cmro.travis-starnes.com/detail.php?idvalue=185
248,11/1964,Tales to Astonish (1958) #61 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=186
249,11/1964,Journey into Mystery (1952) #110 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=187
250,12/1964,Journey into Mystery (1952) #111 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=188
251,11/1964,Journey into Mystery (1952) #110 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16986
252,12/1964,Journey into Mystery (1952) #111 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16987
253,12/1964,Tales to Astonish (1958) #62 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=191
254,12/1964,Tales of Suspense (1959) #60 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=189
255,12/1964,Tales of Suspense (1959) #60 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16988
256,01/1965,Journey into Mystery (1952) #112 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=190
257,01/1965,Journey into Mystery (1952) #112 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=17025
258,11/1964,Fantastic Four (1961) #32,-,https://cmro.travis-starnes.com/detail.php?idvalue=195
259,12/1964,Fantastic Four (1961) #33,-,https://cmro.travis-starnes.com/detail.php?idvalue=202
